id,message,label
795710,Going to be live at the new Beer Barrel from 4:15-5:30 giving away goodies ,0
434728,@PamelaKKinney.. Summer is finally here!!yeayyyyyy!!!.. I plan to do some traveling this summer.. ,0
434782,Listening to Radio Disney and eating Cheerios. ,0
649915,@TrishaBabbitt i blogged a @neilhimself &quot;hey girl&quot; photo on bust.com. you prob can find it if you google &quot;fuck yeah! neil gaiman&quot;. ,0
298179,"raze, i wish demi would see it ",0
800176,@Husjojola @beckymgonzalez @camryn_22_ @jessleal7 @YourDragMother @Bradin_Walker @Carlosdaddylara @BumpTime247 @Mxriah_ @rensbby @dobrikskopfs @Sine_MN @obizniz @babimaree @asia_thomas123 @urib1184 Depression*,1
47600,I just did a very creative thing to speed up my experience at jetblue... Though my ankle does hurt a little.... ,0
588600,wooohoo ..a new CD/album turned up... playing it now on the old hi fi ,0
801628,Black patents don't believe in depression fam  https://twitter.com/VinDollar016/status/988836602054103040Â â¦,1
350778,@ginoboi hi gino! hope u havva good day today! ,0
107712,wishes it wasn't a bank holiday so he could be on the radio this afternoon... but at least he has another week to come up with some ideas ,0
429518,is ecstatic........now i should really take up astrology.......i predicted 8.5........and bingo 8.68 !!!!   ,0
603321,feel's summeriee ! ,0
227702,"@chiknpotpie Ha ha, thank you.  This is what I do when I dont have cases 2 read: fiddle around with hair color of ppl I don't know. #wtf",0
238637,"I love my bestie, he always treating! ",0
630114,@tooshort55 LOL!! WTH...was he doing that for I wonder?!?! That is too funny! They are so silly! ,0
477250,So ready to play. ,0
179068,"It's cold , and I'm not whining . ",0
92677,naptime.  thanx to all of my followers--i just hit 300 today!!!  thank you for being a part of my tweet fam.  ,0
641816,@CBClick Do it! Happy AT&amp;T/Bold user here ,0
118308,Just downloaded a podcast @ the bus stop ,0
801667,"We've got heat on the way!<Emoji: Fire><Emoji: Fire><Emoji: Fire>We're talking to @TheSADAG about student mental health after new data reveals a quarter of South African's suffer from depression. We've also got the new @SunELMusician track, and we're testing @YouTube's fake news detection capabilities pic.twitter.com/FBBPNZlRQm",1
800569,I wish you could pick and choose when #depression hits. I also wish people understood that you can't. #DepressionIsReal,1
783090,@ddlovato Apparently your concert last night with Jo Bro was AMAZING! My friends love you now (finally) haha ,0
401741,On Myspace ,0
491743,Follow us on Myspace!! www.myspace.com/fourtogomusic ,0
628467,Just left my Nephew's B-Day party. On our way to Temecula's wine festival to hook up with some friends. Care to join us? ,0
359268,BGT was great last night. DIVERSITY WON ,0
